work_id	volume_file	volume_title	volume_date	prenom_auteur	nom_auteur	volume_edition_id	first_edition	first_edition_titre	first_edition_date	list_edition_bnf
1	NA	La reveuë des trouppes d'Amour . A Madame D. S. P. D. D. A. L. R.	1667	none	A. D. L. B.	NA	cb335892768	La reveuë des trouppes d'Amour . A Madame D. S. P. D. D. A. L. R.	1667	cb335892768
2	gallica_bpt6k8707080h	Les Amours de Clytophon et de Leucippe. Traduction nouvelle, tirée du grec d'Achilles Tatius et divisée en huict livres... (Par Jean Baudouin.)	1635	none	Achille Tatius	cb30002492f	cb300024913	Les Amours de Clytophon et de Leucippe. Traduction nouvelle, tirée du grec d'Achilles Tatius et divisée en huict livres... (Par Jean Baudouin.)	1635	cb300024913, cb30002492f
3	gallica_bpt6k1115190	Nouvelles morales , en suite de celles de Cervantès,... Tirées de l'espagnol de don Diego Agreda, et mises en notre langue par J. Baudoin	1621	Diego	Agreda y Vargas	cb300051465	cb300051465	Nouvelles morales , en suite de celles de Cervantès,... Tirées de l'espagnol de don Diego Agreda, et mises en notre langue par J. Baudoin	1621	cb300051465
4	gallica_bpt6k63386662	Rodogune, histoire asiatique et romaine, par Monsieur d'Aigue d'Iffremont	1667	D'	Aigue d'Iffremont	cb30005859f	cb30005859f	Rodogune, histoire asiatique et romaine, par Monsieur d'Aigue d'Iffremont	1667	cb30005859f, cb30005860n, cb300058610
4	gallica_bpt6k8701935x	Rodogune, ou Histoire du grand Antiochus. (Par M. d'Aigue d'Iffremont.)	1668	D'	Aigue d'Iffremont	cb30005860n	cb30005859f	Rodogune, histoire asiatique et romaine, par Monsieur d'Aigue d'Iffremont	1667	cb30005859f, cb30005860n, cb300058610
4	gallica_bpt6k8701936b	Rodogune, ou Histoire du grand Antiochus. (Par M. d'Aigue d'Iffremont.)	1668	D'	Aigue d'Iffremont	cb30005860n	cb30005859f	Rodogune, histoire asiatique et romaine, par Monsieur d'Aigue d'Iffremont	1667	cb30005859f, cb30005860n, cb300058610
5	gallica_bpt6k113213b	Le gueux, ou La vie de Guzman d'Alfarache	1633	Mateo	Alemán	cb30009036j	cb300090356	Le Gueux, ou la Vie de Guzman d'Alfarache... rendue... de l'original espagnol de Mateo Aleman (par Jean Chapelain)	1630	cb300090356, cb38890874g, cb30009036j, cb317090168, cb30009037w, cb300090387, cb30009039k, cb31709017m, cb30009040s, cb300090414
5	gallica_bpt6k113214q	Le gueux, ou La vie de Guzman d'Alfarache	1633	Mateo	Alemán	cb30009036j	cb300090356	Le Gueux, ou la Vie de Guzman d'Alfarache... rendue... de l'original espagnol de Mateo Aleman (par Jean Chapelain)	1630	cb300090356, cb38890874g, cb30009036j, cb317090168, cb30009037w, cb300090387, cb30009039k, cb31709017m, cb30009040s, cb300090414
6	gbooks_p7A5AAAAcAAJ	Zizimi, Prince Ottoman, amoureux de Philipine Helene de Sassenage	1673	Guy	Allard	NA	cb30011176b	Zizimi, prince ottoman, amoureux de Philippine-Hélène de Sassenage, histoire dauphinoise (par Guy Allard)	1673	cb30011176b
7	NA	NA	NA	Jacques	Alluis	NA	cb300124454	L'Escole d'amour, ou les Héros docteurs, par M. D. L. C. (J. Alluis)	1666	cb300124454
8	gbooks_ZNhNAAAAcAAJ	Les Amours d'Abelard et d'Heloyse	1675	Jacques	Alluis	NA	cb36117248t	Les Amours d'Abailard &amp;amp; d'Heloïse	1695	cb36117248t
9	NA	Les Odes d'Anacréon,... traduites de grec en françois, par Remi Belleau,... ensemble quelques petites hymnes de son invention...	1578	none	Angoulevent	NA	cb359498224	L' Archi-sot  . Echo satyrique	1605	cb359498224
10	NA	NA	NA	none	Angoulevent	NA	cb30021257j	Discours sur l'aparition et faits pretendus de l'effroyable Tasteur, dédié à mesdames les poissonnières, harangères, fruitières et autres, qui se lèvent du matin d'auprès de leurs maris, par Angoulevent	1613	cb30021257j
11	NA	NA	NA	D'	Argences	NA	cb30026242q	La Comtesse de Salisbury, ou l'Ordre de la Jaretière , nouvelle historique	1682	cb30026242q
12	gbooks_ifGPXfWqvWcC	La Stratonice, traduite de l'italien de Luca Assarino, par d'Audiguier le jeune	1640	Luca	Assarino	NA	cb300329317	La Stratonice  (traduite de l'italien de Luca Assarino, par Claude de Malleville et d'Audiguier le jeune)	1640	cb300329317, cb30032932k
13	gbooks_U3hC8zxWt2wC	(L' Almerinde) (trad. par Pierre d'Audiguier et Cl. de Malleville)	1646	Luca	Assarino	NA	cb36120373t	L'Almerinde	1646	cb36120373t, cb300329150, cb361183052
14	NA	NA	NA	none	Astrophile le Roupieux	NA	cb300337506	Les Grandes et recreatives Prognostications pour cette presente année 08145000470, selon les promenades et beuvettes du Soleil par les douze cabarets du Zodiaque et envisagemens et conjonctions copulatives des planettes, par Me Astrophile le Roupieux, intendant des affaires de Saturne... dédiées à Jean Potage	1683	cb300337506
15	gallica_bpt6k6558185q	Histoire du temps, ou Relation du royaume de Coqueterie . Extraite du dernier voyage des Holandois aux Indes du Levant	1654	François Hédelin	Aubignac	cb300354814	cb300354814	Histoire du temps, ou Relation du royaume de Coqueterie . Extraite du dernier voyage des Holandois aux Indes du Levant	1654	cb300354814
16	gallica_bpt6k65583610	Nouvelle Histoire du temps, ou La relation véritable du royaume de la Coqueterie . La Blanque des illustres filoux du mesme royaume de Coqueterie et les Mariages bien assortis. Reveu, corrigé &amp;amp; augmenté de nouveau	1655	François Hédelin	Aubignac	cb30035482g	cb30035482g	Nouvelle Histoire du temps, ou La relation véritable du royaume de la Coqueterie . La Blanque des illustres filoux du mesme royaume de Coqueterie et les Mariages bien assortis. Reveu, corrigé &amp;amp; augmenté de nouveau	1655	cb30035482g
17	NA	NA	NA	François Hédelin	Aubignac	NA	cb30035483t	Lettre d'Ariste à Cléonte, contenant l'apologie de l'Histoire du temps, ou la défense du Royaume de Coqueterie. - Histoire du temps, ou Relation du royaume de Coqueterie, extraitte du dernier voyage des Holandois aux Indes du Levant. (Par l'abbé d'Aubignac.)	1659	cb30035483t
18	gallica_bpt6k4293p	Macarise, ou la Reyne des Isles fortunées, histoire allégorique contenant la philosophie morale des stoïques sous le voile de plusieurs aventures agreables en forme de roman... par messire François Hedelin, abbé d'Aubignac...	1667	François Hédelin	Aubignac	NA	cb300354845	Macarise, ou la Reyne des Isles fortunées, histoire allégorique contenant la philosophie morale des stoïques sous le voile de plusieurs aventures agreables en forme de roman... par messire François Hedelin, abbé d'Aubignac...	1664	cb300354845, cb30035485h
18	gallica_bpt6k4h93p	Macarise, ou la Reyne des Isles fortunées, histoire allégorique contenant la philosophie morale des stoïques sous le voile de plusieurs aventures agreables en forme de roman... par messire François Hedelin, abbé d'Aubignac...	1664	François Hédelin	Aubignac	NA	cb300354845	Macarise, ou la Reyne des Isles fortunées, histoire allégorique contenant la philosophie morale des stoïques sous le voile de plusieurs aventures agreables en forme de roman... par messire François Hedelin, abbé d'Aubignac...	1664	cb300354845, cb30035485h
19	gallica_bpt6k108467b	Le roman des lettres	1667	François Hédelin	Aubignac	cb30035498v	cb30035498v	Le roman des lettres	1667	cb30035498v
